l_no	p_no	time	play_ox	stoptime
136	919	20230505191702 	1	
137	3725	20230505192239 	1	
138	2418	20230505202059 	1	
139	3640	20230505203204 	1	
140	1005	20230505210812 	1	
141	913	20230505214748 	1	
142	2978	20230505231229 	1	
143	470	20230505232059 	1	
144	3588	20230505234436 	1	
145	1374	20230506040422 	1	
146	2790	20230506042641 	1	
147	3504	20230506045010 	1	
148	585	20230506053540 	1	
149	406	20230506055834 	1	
150	2315	20230506071042 	1	
151	3054	20230506071410 	1	
152	1965	20230506071737 	1	
153	2017	20230506075822 	1	
154	858	20230506105503 	1	
155	2005	20230506111849 	1	
156	3509	20230506112133 	1	
157	1526	20230506113658 	1	
158	2150	20230506113749 	1	
159	1012	20230506115449 	1	
160	3378	20230506124906 	1	
161	2659	20230506133603 	1	
162	180	20230506155225 	1	
163	2744	20230506161427 	1	
164	2747	20230506163922 	1	
165	2944	20230506164918 	1	
166	1705	20230506165647 	1	
167	1391	20230506200006 	1	
168	1302	20230506201840 	1	
169	3304	20230506212219 	1	
170	1239	20230506222122 	1	
171	1158	20230506222239 	1	
172	457	20230506230901 	1	
173	3147	20230507022426 	1	
174	22	20230507033014 	1	
175	2898	20230507035627 	1	
176	1635	20230507040256 	1	
177	3796	20230507054536 	0	1:09
178	113	20230507064522 	1	
179	470	20230507074232 	1	
180	3863	20230507081128 	0	2:44
181	2822	20230507093508 	1	
182	102	20230507093827 	1	
183	1134	20230507100924 	1	
184	1148	20230507111102 	1	
185	3730	20230507112124 	1	
186	1089	20230507114903 	1	
187	2836	20230507135538 	1	
188	707	20230507143413 	1	
189	2508	20230507152756 	1	
190	614	20230507153141 	1	
191	3422	20230507173724 	1	
192	2439	20230507181909 	1	
193	563	20230507182328 	1	
194	2900	20230507211935 	1	
195	3312	20230507211952 	1	
196	584	20230507212437 	1	
197	2692	20230507234754 	1	
198	3302	20230508041654 	1	
199	1082	20230508043419 	1	
200	3241	20230508043712 	1	
201	917	20230508053715 	1	
202	308	20230508065610 	0	2:01
203	3777	20230508074524 	0	1:18
204	2104	20230508084955 	1	
205	2744	20230508104131 	1	
206	677	20230508110023 	1	
207	128	20230508115130 	1	
208	2200	20230508122354 	1	
209	37	20230508122547 	1	
210	1865	20230508131628 	1	
211	3808	20230508143758 	0	2:36
212	98	20230508150655 	1	
213	562	20230508152604 	1	
214	286	20230508154814 	1	
215	581	20230508191235 	1	
216	136	20230508195713 	1	
217	1742	20230508201539 	1	
218	3332	20230508201949 	1	
219	2558	20230508211533 	1	
220	374	20230508222943 	1	
221	826	20230508231128 	1	
222	2528	20230508232601 	1	
223	2653	20230509041619 	1	
224	3287	20230509042340 	1	
225	182	20230509044048 	1	
226	3878	20230509052300 	1	
227	37	20230509052802 	1	
228	3813	20230509060821 	0	1:09
229	895	20230509060930 	1	
230	285	20230509065015 	1	
231	1023	20230509072659 	1	
232	345	20230509080032 	1	
233	2699	20230509081832 	1	
234	2731	20230509083012 	1	
235	3815	20230509090629 	0	3:01
236	3714	20230509095308 	1	
237	539	20230509104249 	1	
238	430	20230509105848 	1	
239	63	20230509114737 	1	
240	2668	20230509114955 	1	
241	1965	20230509133930 	1	
242	969	20230509150017 	1	
243	2651	20230509165739 	1	
244	2835	20230509190649 	1	
245	2168	20230509200543 	1	
246	2630	20230509200927 	1	
247	3679	20230509213049 	1	
248	2350	20230509213316 	1	
249	3836	20230509213700 	0	3:19
250	2293	20230509214823 	1	
251	2368	20230509214949 	1	
252	2425	20230509235925 	1	
253	2189	20230510030520 	1	
254	2193	20230510032027 	1	
255	1303	20230510033927 	1	
256	2418	20230510040841 	1	
257	1378	20230510043812 	1	
258	293	20230510044306 	1	
259	841	20230510051723 	1	
260	1929	20230510075420 	1	
261	2417	20230510083055 	1	
262	225	20230510084728 	1	
263	2514	20230510085323 	1	
264	1369	20230510085808 	1	
265	2531	20230510091533 	1	
266	537	20230510092053 	1	
267	2152	20230510093259 	1	
268	777	20230510103043 	1	
269	2885	20230510104031 	1	
270	3713	20230510112133 	1	
271	1674	20230510115624 	1	
272	2923	20230510121751 	1	
273	1097	20230510130405 	1	
274	2052	20230510130413 	1	
275	3620	20230510135119 	1	
276	647	20230510150411 	1	
277	229	20230510161837 	1	
278	2528	20230510161947 	1	
279	1771	20230510163126 	1	
280	336	20230510164424 	1	
281	2816	20230510164550 	1	
282	3426	20230510170141 	1	
283	1345	20230510173204 	1	
284	3151	20230510174553 	1	
285	3394	20230510184212 	1	
286	3774	20230510200718 	0	2:36
287	3177	20230510212119 	1	
288	2445	20230510213115 	1	
289	2866	20230510214748 	1	
290	3190	20230510214832 	1	
291	899	20230511032822 	1	
292	2492	20230511032940 	1	
293	1442	20230511040859 	1	
294	920	20230511042314 	1	
295	1943	20230511052142 	1	
296	2109	20230511054309 	1	
297	254	20230511055205 	1	
298	1407	20230511062053 	1	
299	3199	20230511071418 	1	
300	1591	20230511075547 	1	
301	2965	20230511094513 	1	
302	2577	20230511103838 	1	
303	1422	20230511105857 	1	
304	2873	20230511110901 	1	
305	2943	20230511114051 	1	
306	1276	20230511124355 	1	
307	1941	20230511125727 	1	
308	1583	20230511132406 	1	
309	2386	20230511134817 	1	
310	3181	20230511134935 	1	
311	3822	20230511140500 	0	2:10
312	614	20230511142024 	1	
313	3365	20230511144300 	1	
314	3209	20230511150502 	1	
315	1309	20230511150528 	1	
316	1816	20230511152538 	1	
317	3650	20230511152813 	0	2:36
318	2690	20230511154430 	1	
319	3867	20230511162113 	0	3:01
320	524	20230511171605 	1	
321	2844	20230511175549 	1	
322	41	20230511191510 	1	
323	2948	20230511213106 	1	
324	1235	20230511220230 	1	
325	1789	20230511222432 	1	
326	799	20230511222716 	1	
327	1291	20230511223454 	1	
328	369	20230511224700 	1	
329	1112	20230511233020 	1	
330	165	20230512033643 	1	
331	635	20230512041252 	1	
332	2580	20230512043345 	1	
333	3188	20230512044900 	1	
334	219	20230512050224 	1	
335	1526	20230512053649 	1	
336	1867	20230512060646 	1	
337	1122	20230512061105 	1	
338	883	20230512063014 	1	
339	2888	20230512064657 	1	
340	1168	20230512064748 	0	0:52
341	1589	20230512081045 	1	
342	1496	20230512095150 	1	
343	2584	20230512095854 	1	
344	598	20230512103100 	1	
345	666	20230512110818 	1	
346	1512	20230512113448 	0	1:00
347	2346	20230512113531 	1	
348	2331	20230512114300 	1	
349	2458	20230512114344 	1	
350	3350	20230512131318 	1	
351	1410	20230512133856 	1	
352	3508	20230512140215 	1	
353	320	20230512140551 	1	
354	1277	20230512141740 	1	
355	1991	20230512143439 	1	
356	325	20230512150721 	1	
357	2395	20230512164852 	1	
358	1121	20230512185745 	1	
359	857	20230512193454 	1	
360	1259	20230512194415 	1	
361	1510	20230512194944 	0	1:09
362	664	20230512200106 	1	
363	1609	20230512202041 	1	
364	3761	20230512210118 	1	
365	2969	20230512214036 	1	
366	1938	20230512214949 	1	
367	2526	20230512231338 	1	
368	226	20230512233055 	1	
369	3001	20230512234611 	1	
370	1912	20230513023523 	1	
371	2790	20230513024226 	1	
372	833	20230513025458 	1	
373	1026	20230513033844 	1	
374	3014	20230513040833 	1	
375	2380	20230513043327 	1	
376	1927	20230513044324 	1	
377	3361	20230513045521 	1	
378	1229	20230513050451 	0	2:10
379	3781	20230513051806 	0	2:44
380	2290	20230513051932 	1	
381	1710	20230513065059 	1	
382	2286	20230513073528 	1	
383	3817	20230513074608 	0	1:18
384	595	20230513084947 	1	
385	59	20230513090236 	1	
386	663	20230513111019 	1	
387	2379	20230513111102 	1	
388	1160	20230513115449 	1	
389	2031	20230513130623 	1	
390	2064	20230513133345 	1	
391	2918	20230513134206 	1	
392	3661	20230513141347 	1	
393	969	20230513141932 	1	
394	2433	20230513150712 	1	
395	3338	20230513152857 	1	
396	1434	20230513170525 	1	
397	649	20230513174636 	1	
398	2169	20230513174938 	1	
399	3770	20230513192406 	0	1:26
400	2076	20230513192549 	1	
401	1752	20230513193253 	1	
402	3058	20230513200945 	1	
403	2938	20230513202308 	1	
404	2134	20230513204553 	1	
405	2592	20230513221955 	1	
406	2921	20230513223009 	1	
407	2009	20230514024837 	1	
408	2516	20230514030856 	1	
409	3094	20230514040606 	0	2:53
410	2000	20230514042021 	1	
411	1295	20230514054929 	1	
412	575	20230514061843 	1	
413	2611	20230514073353 	1	
414	1670	20230514074935 	1	
415	1430	20230514080215 	1	
416	1455	20230514094605 	1	
417	3731	20230514095242 	1	
418	1068	20230514103336 	1	
419	1217	20230514103353 	1	
420	2768	20230514111849 	1	
421	2254	20230514113138 	1	
422	3257	20230514113448 	1	
423	2631	20230514121258 	1	
424	1340	20230514130247 	1	
425	1881	20230514132222 	1	
426	847	20230514155601 	1	
427	2268	20230514160029 	1	
428	1013	20230514181616 	1	
429	2444	20230514200901 	1	
430	2042	20230514201906 	1	
431	3517	20230514235943 	1	
432	2696	20230515031734 	1	
433	1473	20230515033158 	1	
434	799	20230515040238 	1	
435	104	20230515050517 	1	
436	3654	20230515061424 	1	
437	778	20230515062647 	0	3:01
438	1106	20230515070155 	1	
439	2479	20230515071837 	1	
440	1806	20230515082937 	1	
441	3832	20230515090612 	0	2:01
442	264	20230515104625 	1	
443	2854	20230515110342 	1	
444	3735	20230515111748 	1	
445	1933	20230515122420 	1	
446	3723	20230515125033 	1	
447	2552	20230515125142 	1	
448	3742	20230515131527 	1	
449	3169	20230515133738 	1	
450	3741	20230515152429 	1	
451	3639	20230515161510 	1	
452	1833	20230515164341 	1	
453	1976	20230515171019 	1	
454	2077	20230515190523 	1	
455	394	20230515210445 	1	
456	1785	20230515211114 	1	
457	3690	20230515212547 	1	
458	2911	20230515220457 	1	
459	992	20230515220807 	1	
460	1064	20230515221025 	1	
461	3352	20230515231220 	1	
462	1714	20230516025239 	1	
463	1533	20230516030755 	1	
464	3188	20230516032756 	1	
465	2168	20230516033058 	1	
466	3568	20230516050652 	1	
467	248	20230516065636 	1	
468	3455	20230516073000 	1	
469	3287	20230516111949 	1	
470	3100	20230516122412 	1	
471	3335	20230516135245 	0	1:18
472	1559	20230516163502 	1	
473	1144	20230516182503 	1	
474	1496	20230516200517 	1	
475	1073	20230516205532 	1	
476	3323	20230516233204 	1	
477	937	20230517030856 	1	
478	1468	20230517035701 	1	
479	1183	20230517041410 	1	
480	1332	20230517051338 	1	
481	3190	20230517065745 	1	
482	3061	20230517084427 	1	
483	2521	20230517093023 	1	
484	2850	20230517093115 	1	
485	804	20230517102558 	1	
486	52	20230517120411 	1	
487	439	20230517120812 	0	1:52
488	1331	20230517125334 	1	
489	3390	20230517130531 	1	
490	602	20230517134140 	1	
491	2959	20230517134700 	1	
492	3473	20230517140416 	1	
493	1752	20230517142618 	1	
494	1232	20230517145842 	1	
495	121	20230517160749 	1	
496	1644	20230517161619 	1	
497	1915	20230517165455 	1	
498	747	20230517174929 	1	
499	3409	20230517175257 	1	
500	1746	20230517214212 	1	
501	51	20230517214613 	1	
502	844	20230518024654 	1	
503	5	20230518030428 	1	
504	1625	20230518031608 	1	
505	2032	20230518032328 	1	
506	3258	20230518032354 	1	
507	2622	20230518042104 	1	
508	1380	20230518050500 	1	
509	1468	20230518052041 	1	
510	1988	20230518064011 	1	
511	3086	20230518101611 	1	
512	2490	20230518101754 	1	
513	1652	20230518101855 	1	
514	1338	20230518101855 	1	
515	1302	20230518102205 	1	
516	2873	20230518110259 	1	
517	3022	20230518113003 	1	
518	2118	20230518124832 	1	
519	3237	20230518130924 	1	
520	453	20230518131536 	1	
521	1002	20230518132038 	1	
522	844	20230518143606 	1	
523	140	20230518145257 	1	
524	125	20230518145951 	1	
525	2523	20230518153006 	1	
526	651	20230518154246 	1	
527	119	20230518155911 	1	
528	1890	20230518180847 	1	
529	3317	20230518183434 	1	
530	688	20230518190606 	1	
531	236	20230518212931 	1	
532	906	20230518230617 	1	
533	3862	20230518232911 	0	3:27
534	2926	20230518234611 	1	
535	3473	20230519024401 	1	
536	2460	20230519032940 	1	
537	704	20230519042615 	1	
538	3584	20230519045612 	1	
539	3179	20230519045756 	1	
540	2951	20230519052015 	1	
541	2632	20230519065509 	1	
542	715	20230519073913 	1	
543	154	20230519084645 	1	
544	417	20230519085816 	1	
545	1547	20230519093333 	1	
546	505	20230519111906 	1	
547	212	20230519113129 	1	
548	1096	20230519120812 	1	
549	2461	20230519122756 	1	
550	628	20230519132641 	1	
551	3089	20230519132724 	1	
552	165	20230519151809 	1	
553	3462	20230519174300 	1	
554	3031	20230519180755 	1	
555	151	20230519182027 	1	
556	2283	20230519190256 	1	
557	1613	20230519191453 	1	
558	1686	20230519204427 	1	
559	2229	20230519210721 	1	
560	3744	20230519222759 	1	
561	2416	20230520025113 	1	
562	2118	20230520025934 	1	
563	582	20230520050259 	1	
564	1268	20230520050500 	1	
565	3458	20230520073144 	1	
566	494	20230520073253 	1	
567	3460	20230520093844 	1	
568	1293	20230520095124 	1	
569	1243	20230520101200 	1	
570	2470	20230520114100 	1	
571	1875	20230520130413 	1	
572	2190	20230520134005 	1	
573	458	20230520142317 	1	
574	3338	20230520160155 	1	
575	2821	20230520170040 	1	
576	3298	20230520172124 	1	
577	208	20230520182302 	1	
578	2229	20230520185610 	1	
579	1913	20230520190457 	1	
580	1652	20230520195337 	1	
581	54	20230520195948 	1	
582	2754	20230520205733 	1	
583	444	20230520211258 	1	
584	229	20230520230115 	1	
585	2483	20230520232426 	1	
586	957	20230520235716 	1	
587	994	20230521034832 	1	
588	2347	20230521044625 	1	
589	3680	20230521050324 	1	
590	3813	20230521063609 	0	1:09
591	1574	20230521075412 	1	
592	2358	20230521082116 	1	
593	1688	20230521085122 	1	
594	1881	20230521095308 	1	
595	1286	20230521100548 	1	
596	1319	20230521102113 	1	
597	1023	20230521103554 	1	
598	285	20230521115816 	1	
599	1034	20230521122337 	1	
600	2111	20230521124731 	1	
601	2387	20230521134533 	1	
602	1819	20230521143724 	1	
603	2279	20230521144803 	1	
604	3285	20230521145449 	1	
605	1046	20230521145615 	1	
606	1662	20230521151800 	1	
607	1566	20230521154220 	1	
608	1131	20230521170635 	1	
609	1688	20230521175139 	1	
610	2677	20230521194459 	1	
611	522	20230521213207 	1	
612	2053	20230521214229 	1	
613	2264	20230521224516 	1	
614	1522	20230521224926 	1	
615	1839	20230521231246 	1	
616	2661	20230522025742 	1	
617	26	20230522030703 	1	
618	1133	20230522035552 	1	
619	3803	20230522043327 	0	1:44
620	3540	20230522044608 	1	
621	527	20230522060948 	1	
622	1677	20230522064456 	1	
623	645	20230522070523 	1	
624	383	20230522072323 	0	3:27
625	1664	20230522083540 	1	
626	359	20230522094539 	1	
627	1789	20230522100046 	1	
628	3504	20230522111958 	1	
629	3611	20230522115834 	1	
630	3144	20230522122036 	1	
631	2012	20230522125300 	1	
632	1484	20230522130147 	1	
633	1119	20230522132641 	1	
634	2207	20230522133353 	1	
635	2669	20230522143505 	1	
636	358	20230522143815 	1	
637	1751	20230522150537 	1	
638	1277	20230522161117 	1	
639	2889	20230522173103 	1	
640	1552	20230522173457 	1	
641	1267	20230522174436 	1	
642	1418	20230522175951 	1	
643	80	20230522181349 	1	
644	242	20230522185710 	1	
645	2618	20230522202024 	1	
646	1647	20230522204820 	1	
647	2965	20230522214548 	1	
648	2140	20230522215954 	1	
649	980	20230523034723 	1	
650	1994	20230523040356 	1	
651	432	20230523042323 	1	
652	1457	20230523053431 	1	
653	2512	20230523053959 	1	
654	3678	20230523090712 	1	
655	3675	20230523091031 	1	
656	2719	20230523112050 	1	
657	423	20230523112400 	1	
658	1955	20230523122110 	1	
659	1104	20230523125142 	1	
660	1773	20230523143147 	1	
661	3428	20230523144947 	1	
662	3375	20230523155753 	1	
663	3251	20230523172727 	1	
664	859	20230523180327 	1	
665	3246	20230523183132 	1	
666	2156	20230523190758 	1	
667	3480	20230523194800 	1	
668	2302	20230523201832 	1	
669	3758	20230523202242 	1	
670	3846	20230523212638 	0	3:36
671	2116	20230523213508 	1	
672	1423	20230523224835 	1	
673	3402	20230523231146 	1	
674	857	20230524033425 	1	
675	2825	20230524035300 	1	
676	2855	20230524040230 	1	
677	2686	20230524045245 	1	
678	494	20230524054527 	1	
679	697	20230524064958 	1	
680	2481	20230524072707 	0	1:26
681	944	20230524073646 	1	
682	1798	20230524073738 	1	
683	2021	20230524075722 	1	
684	775	20230524082443 	1	
685	2117	20230524085414 	1	
686	538	20230524093350 	1	
687	3055	20230524093543 	1	
688	2904	20230524101410 	1	
689	1552	20230524102900 	1	
690	1771	20230524104249 	1	
691	2992	20230524110141 	1	
692	87	20230524112701 	1	
693	2519	20230524125653 	1	
694	101	20230524140149 	1	
695	71	20230524152848 	1	
696	1866	20230524171154 	1	
697	1650	20230524195302 	1	
698	1651	20230524203523 	1	
699	1075	20230524215500 	1	
700	2775	20230524225044 	1	
701	1770	20230524231605 	1	
702	3722	20230524231958 	1	
703	1994	20230525030253 	1	
704	635	20230525043210 	1	
705	58	20230525061952 	1	
706	2634	20230525070046 	1	
707	2384	20230525071829 	1	
708	759	20230525083147 	1	
709	947	20230525085357 	1	
710	2769	20230525090629 	1	
711	3258	20230525092018 	1	
712	3640	20230525092145 	1	
713	3067	20230525100807 	1	
714	2481	20230525103327 	1	
715	6	20230525105228 	1	
716	3563	20230525111456 	1	
717	2306	20230525113112 	1	
718	2216	20230525121900 	1	
719	283	20230525131545 	1	
720	2451	20230525141941 	1	
721	3528	20230525150009 	1	
722	3300	20230525150755 	1	
723	807	20230525151634 	1	
724	775	20230525161636 	1	
725	936	20230525164223 	1	
726	1593	20230525165446 	1	
727	1233	20230525172452 	1	
728	233	20230525173907 	1	
729	3620	20230525183945 	1	
730	925	20230525184137 	1	
731	668	20230525185133 	1	
732	2558	20230525190732 	1	
733	111	20230525200953 	1	
734	3871	20230525202251 	1	
735	861	20230525204226 	1	
736	3275	20230525212010 	1	
737	1430	20230525213049 	1	
738	2907	20230525214932 	1	
739	2357	20230525215150 	0	1:52
740	3071	20230525231203 	1	
741	3352	20230526030948 	1	
742	3193	20230526031214 	1	
743	2288	20230526031926 	1	
744	3629	20230526035736 	1	
745	3263	20230526040212 	1	
746	721	20230526040749 	1	
747	650	20230526045403 	1	
748	2213	20230526050342 	1	
749	1620	20230526052242 	1	
750	357	20230526064456 	1	
751	3240	20230526074214 	1	
752	3764	20230526075136 	1	
753	3604	20230526075219 	1	
754	2918	20230526080517 	1	
755	2083	20230526084829 	1	
756	1237	20230526093508 	1	
757	2581	20230526103956 	1	
758	3479	20230526104918 	1	
759	3885	20230526123735 	1	
760	2308	20230526130841 	1	
761	2657	20230526135914 	1	
762	753	20230526152512 	1	
763	998	20230526160505 	1	
764	2670	20230526160632 	1	
765	493	20230526171530 	1	
766	655	20230526213014 	1	
767	3357	20230526214723 	1	
768	2597	20230526231321 	1	
769	2491	20230526232811 	1	
770	604	20230527025012 	1	
771	3665	20230527025650 	1	
772	2036	20230527040649 	1	
773	2791	20230527042323 	1	
774	178	20230527044852 	1	
775	3614	20230527045211 	1	
776	1548	20230527052902 	1	
777	3300	20230527055925 	1	
778	3261	20230527065719 	1	
779	2371	20230527073804 	1	
780	1353	20230527074105 	1	
781	2037	20230527075236 	1	
782	3274	20230527080132 	1	
783	1961	20230527092010 	1	
784	21	20230527105446 	1	
785	3236	20230527110626 	1	
786	444	20230527120436 	1	
787	3361	20230527120546 	1	
788	2983	20230527124723 	1	
789	2721	20230527144117 	1	
790	1937	20230527151800 	1	
791	585	20230527154246 	1	
792	3414	20230527154522 	1	
793	549	20230527154748 	1	
794	341	20230527160457 	1	
795	850	20230527161947 	1	
796	2334	20230527180703 	1	
797	1956	20230527180930 	1	
798	1697	20230527182547 	1	
799	1608	20230527184757 	1	
800	198	20230527193847 	1	
801	1699	20230527201714 	1	
802	1808	20230527211123 	1	
803	2728	20230527211148 	1	
804	3664	20230527222257 	1	
805	1089	20230527222348 	1	
806	89	20230527222816 	1	
807	2096	20230527225145 	1	
808	2106	20230527231622 	1	
809	1872	20230527234501 	1	
810	1167	20230527234803 	1	
811	260	20230528033617 	1	
812	3606	20230528040758 	1	
813	2634	20230528042659 	1	
814	1833	20230528051849 	1	
815	325	20230528052500 	1	
816	1297	20230528054921 	1	
817	1133	20230528055716 	1	
818	1506	20230528061057 	1	
819	438	20230528064002 	1	
820	1001	20230528093124 	1	
821	2227	20230528101134 	1	
822	2158	20230528103402 	1	
823	1855	20230528113658 	1	
824	1575	20230528114410 	1	
825	2894	20230528121332 	1	
826	131	20230528122328 	1	
827	1487	20230528123525 	1	
828	2856	20230528135446 	1	
829	3718	20230528140718 	1	
830	3461	20230528142937 	1	
831	1952	20230528144545 	1	
832	1835	20230528144611 	1	
833	3609	20230528160715 	1	
834	3226	20230528161820 	1	
835	77	20230528165914 	1	
836	3522	20230528181550 	1	
837	2610	20230528181751 	1	
838	2070	20230528183945 	1	
839	328	20230528191929 	1	
840	3044	20230528194800 	1	
841	2725	20230528202946 	1	
842	2418	20230528223253 	1	
843	1830	20230528223729 	1	
844	1578	20230528233614 	1	
845	346	20230529033207 	0	3:19
846	2964	20230529034128 	1	
847	12	20230529045010 	1	
848	1762	20230529064404 	1	
849	3646	20230529065033 	1	
850	284	20230529080534 	1	
851	720	20230529084025 	1	
852	3580	20230529094731 	1	
853	2214	20230529095954 	1	
854	3139	20230529111054 	1	
855	3168	20230529111229 	1	
856	130	20230529124212 	1	
857	1017	20230529132917 	1	
858	1648	20230529140810 	1	
859	2819	20230529155618 	1	
860	658	20230529160531 	1	
861	3164	20230529161318 	1	
862	685	20230529175248 	1	
863	3230	20230529182320 	1	
864	2909	20230529183953 	1	
865	1547	20230529192934 	1	
866	1472	20230529215124 	1	
867	959	20230529233212 	1	
868	1931	20230530030109 	1	
869	1687	20230530032010 	1	
870	3075	20230530033801 	1	
871	935	20230530045446 	1	
872	501	20230530045931 	1	
873	3853	20230530051622 	0	2:10
874	2762	20230530064002 	1	
875	3001	20230530072549 	1	
876	2802	20230530074157 	1	
877	795	20230530080106 	1	
878	239	20230530112710 	1	
879	3059	20230530113706 	1	
880	1647	20230530113824 	1	
881	2742	20230530141748 	1	
882	187	20230530145406 	1	
883	2687	20230530162633 	1	
884	439	20230530163646 	1	
885	1403	20230530163838 	1	
886	1215	20230530165202 	1	
887	3000	20230530165612 	1	
888	452	20230530171154 	1	
889	2672	20230530173439 	1	
890	1764	20230530181918 	1	
891	3409	20230530185216 	1	
892	3415	20230530201229 	1	
893	1592	20230530202242 	1	
894	3640	20230530202426 	1	
895	2255	20230530231329 	1	
896	1072	20230531023003 	1	
897	2751	20230531030035 	1	
898	1636	20230531031140 	1	
899	2133	20230531043956 	1	
900	1188	20230531050709 	1	
901	3568	20230531050927 	1	
902	1900	20230531054226 	1	
903	744	20230531055021 	1	
904	880	20230531062831 	1	
905	43	20230531070531 	1	
906	2164	20230531080500 	1	
907	3679	20230531090227 	1	
908	3007	20230531091817 	1	
909	2130	20230531091918 	1	
910	162	20230531092153 	1	
911	2744	20230531093752 	1	
912	860	20230531121415 	1	
913	1619	20230531124714 	1	
914	3326	20230531134835 	1	
915	2526	20230531140250 	1	
916	3398	20230531142845 	1	
917	1477	20230531145633 	1	
918	944	20230531162248 	1	
919	2097	20230531180454 	1	
920	346	20230531181048 	1	
921	2849	20230531192458 	1	
922	1011	20230531202343 	1	
923	1845	20230531203540 	1	
924	1577	20230531210000 	1	
925	1744	20230531210035 	1	
926	2495	20230531215902 	1	
927	2815	20230531232443 	1	
928	595	20230531234117 	1	
929	2497	20230601024209 	1	
930	3781	20230601030637 	0	2:44
931	1906	20230601033534 	1	
932	2790	20230601050132 	1	
933	3398	20230601054436 	1	
934	2378	20230601055825 	1	
935	666	20230601073838 	1	
936	3485	20230601084947 	1	
937	3071	20230601093500 	1	
938	2536	20230601094019 	1	
